"tract","Name","Household_Income_rB_gP_pall"
25017341300,"Malden, MA",57917
25017339400,"Medford, MA",57563
25009205100,"Lynn, MA",55524
25017339900,"Medford, MA",52383
25017310601,"Pawtucketville, Lowell, MA",51182
25017339500,"Medford, MA",49123
25017332300,"Burlington, MA",48726
25025170100,"Revere, MA",48704
25017351204,"Ward Two, Somerville, MA",48589
25017310200,"Centralville, Lowell, MA",48248
25017311400,"Highlands, Lowell, MA",47840
25017342300,"Everett, MA",47685
25017311600,"Highlands, Lowell, MA",47542
25017339700,"South Medford, Medford, MA",47469
25017341200,"Malden, MA",47377
25009252501,"Methuen, MA",46802
25017340000,"Medford, MA",46796
25017311700,"Highlands, Lowell, MA",46234
25009251500,"Lawrence, MA",45828
25017312200,"South Lowell, Lowell, MA",43777
25017341101,"Malden, MA",43303
25009206400,"Lynn, MA",43300
25025160601,"Chelsea, MA",43228
25017368901,"North Waltham, Waltham, MA",43044
25017339600,"South Medford, Medford, MA",42256
25017310300,"Centralville, Lowell, MA",42242
25017310602,"Pawtucketville, Lowell, MA",42170
25017368200,"Highlands, Waltham, MA",41589
25017351403,"East Somerville, Somerville, MA",41556
25017340100,"Medford, MA",41383
25017341800,"Malden, MA",41164
25025160501,"Chelsea, MA",40811
25017354600,"Neighborhood Nine, Cambridge, MA",40745
25017339802,"Medford, MA",40716
25025160602,"Chelsea, MA",40596
25017350800,"Teele Square, Somerville, MA",39862
25017341400,"Malden, MA",39762
25017339300,"West Medford, Medford, MA",39699
25017342201,"Everett, MA",39552
25017350300,"Magoun Square, Somerville, MA",39024
25009205200,"Lynn, MA",39015
25017342101,"Everett, MA",38935
25017342600,"Everett, MA",38858
25017368300,"Banks Square, Waltham, MA",38792
25017356300,"Arlington, MA",38774
25017342500,"Everett, MA",38588
25017351404,"East Somerville, Somerville, MA",38124
25017350400,"Powder House Square, Somerville, MA",38022
25017351000,"Spring Hill, Somerville, MA",37620
25009250600,"Lawrence, MA",37352
25017350700,"West Somerville, Somerville, MA",37341
25017351100,"Spring Hill, Somerville, MA",36850
25017341500,"Malden, MA",36829
25017368902,"Waltham, MA",36792
25017350104,"Somerville, MA",36329
25017341902,"Malden, MA",36024
25017311300,"Highlands, Lowell, MA",35908
25017341700,"Malden, MA",35361
25017341102,"Malden, MA",34672
25009204200,"Salem, MA",34364
25009250800,"Lawrence, MA",34180
25017341600,"Malden, MA",34143
25017342202,"Everett, MA",33805
25009207100,"Lynn, MA",33710
25017350200,"Winter Hill, Somerville, MA",33693
25017342400,"Everett, MA",33592
25009205500,"Lynn, MA",33323
25017310100,"Downtown, Lowell, MA",33024
25017354900,"North Cambridge, Cambridge, MA",32804
25017388300,"The Acre, Lowell, MA",32633
25017354700,"North Cambridge, Cambridge, MA",31252
25017354300,"Strawberry Hill, Cambridge, MA",31248
25025050101,"Eagle Hill, Boston, MA",31084
25009205900,"Lynn, MA",30944
25009206000,"Lynn, MA",30798
25017360100,"Hanscom Air Force Base, MA",30746
25009251800,"Lawrence, MA",30714
25009206900,"Lynn, MA",30653
25009206800,"Lynn, MA",30651
25009207200,"Lynn, MA",30649
25017351300,"Prospect Hill, Somerville, MA",30611
25025170702,"Revere, MA",30585
25025160502,"Chelsea, MA",30440
25025160101,"Chelsea, MA",29697
25009206100,"Lynn, MA",29566
25009205700,"Lynn, MA",29540
25009206200,"Lynn, MA",28859
25025160200,"Chelsea, MA",28638
33015100302,"Salem, NH",28416
25017355000,"North Cambridge, Cambridge, MA",28413
25017310700,"The Acre, Lowell, MA",28151
25009205800,"Lynn, MA",27146
25025051101,"East Boston, Boston, MA",27140
25009206500,"Lynn, MA",26189
25009206700,"Lynn, MA",26044
25009206300,"Lynn, MA",25098
25025170400,"Revere, MA",23860
25009206600,"Lynn, MA",23790
25009205600,"Lynn, MA",22079
25009260100,"Haverhill, MA",21851
25025040801,"Charlestown, Boston, MA",21423
25009207000,"Lynn, MA",19966
25009260800,"Haverhill, MA",14000
25017337101,"Stoneham, MA",
25009250200,"Lawrence, MA",
25017335400,"Wakefield, MA",
25009204701,"Salem, MA",
25009205400,"Lynn, MA",
25009254302,"Andover, MA",
25009251100,"Lawrence, MA",
25017336100,"Melrose, MA",
25009217100,"Beverly, MA",
25017354500,"Neighborhood Nine, Cambridge, MA",
25009210200,"Peabody, MA",
25009252300,"Methuen, MA",
25009254301,"Andover, MA",
25017315401,"Tewksbury, MA",
25009210400,"Peabody, MA",
25017357100,"Belmont, MA",
25009260402,"Haverhill, MA",
25009266300,"Amesbury, MA",
33015003500,"Derry, Derry, NH",
25009221800,"Gloucester, MA",
25009221300,"Gloucester, MA",
25017311800,"Highlands, Lowell, MA",
25017317102,"Chelmsford, MA",
25009250300,"Lawrence, MA",
25009253201,"North Andover, MA",
25025170800,"Revere, MA",
25025170501,"Revere, MA",
25017350103,"Ten Hills, Somerville, MA",
25017311500,"Highlands, Lowell, MA",
25017316300,"Billerica, MA",
25017358600,"Lexington, MA",
25017336401,"Melrose, MA",
25017312501,"Belvidere, Lowell, MA",
25017311900,"Back Central, Lowell, MA",
25025170502,"Revere, MA",
25009252102,"Methuen, MA",
25009254100,"Andover, Andover, MA",
25017335100,"Wakefield, MA",
33015104101,"East Hampstead, Hampstead, NH",
33015100200,"Salem, NH",
25009261101,"Haverhill, MA",
25017339200,"West Medford, Medford, MA",
33015101100,"Plaistow, NH",
25009250400,"Lawrence, MA",
25017317103,"Chelmsford, MA",
25009270100,"Rowley, MA",
25009250500,"Lawrence, MA",
25017331200,"Wilmington, MA",
25017360200,"Lincoln, MA",
25009251000,"Lawrence, MA",
25009260700,"Haverhill, MA",
25017314302,"Dracut, MA",
25017315500,"Tewksbury, MA",
25009202101,"Swampscott, MA",
25009210500,"South Peabody, Peabody, MA",
25009221902,"Gloucester, MA",
25025170300,"Revere, MA",
25017336300,"Melrose, MA",
25017334100,"Reading, MA",
25009251600,"Lawrence, MA",
25009263100,"West Newbury, MA",
25009253202,"North Andover, MA",
25009251700,"Lawrence, MA",
33015062500,"Kensington, NH",
25009217500,"Beverly, MA",
25017358100,"Lexington, MA",
25017358400,"Lexington, MA",
25009204702,"Salem, MA",
33015103100,"Atkinson, NH",
25017315402,"Tewksbury, MA",
25009254402,"Andover, MA",
25009250900,"Lawrence, MA",
25017359300,"Bedford, MA",
25009251300,"Lawrence, MA",
25009210100,"Peabody, MA",
25009253203,"North Andover, MA",
25009216100,"Wenham, MA",
25017332100,"Burlington, MA",
25017338200,"Winchester, MA",
25017368101,"Lakeview, Waltham, MA",
25009267101,"Salisbury, MA",
25017333300,"Woburn, MA",
25009251200,"Lawrence, MA",
25025981502,"Revere, MA",
33015106101,"Windham, NH",
25017336402,"Melrose, MA",
25009209200,"Lynnfield, MA",
25017316102,"Billerica, MA",
25009215102,"South Hamilton, Hamilton, MA",
25009254403,"Andover, MA",
25017337201,"Stoneham, MA",
25009265101,"Georgetown, MA",
25009253100,"North Andover, MA",
25017356601,"Arlington, MA",
25017314301,"Dracut, MA",
25009210800,"Peabody, MA",
25009251400,"Lawrence, MA",
25009208102,"Saugus, MA",
25017315200,"Tewksbury, MA",
25025050901,"Eagle Hill, Boston, MA",
33015003703,"Londonderry, NH",
25009204400,"Salem, MA",
25009204300,"The Point, Salem, MA",
25009221700,"Gloucester, MA",
25017357400,"Belmont, MA",
25009204102,"Salem, MA",
25017312502,"Belvidere, Lowell, MA",
33015105100,"Kingston, NH",
25009217400,"Beverly, MA",
25009266100,"Amesbury, MA",
33015102100,"Newton, NH",
25009210700,"Peabody, MA",
25009269100,"Newbury, MA",
25017367100,"Weston, MA",
25017312000,"Back Central, Lowell, MA",
33011200300,"Pelham, NH",
33015106102,"Windham, NH",
25025180101,"Winthrop, MA",
25009217201,"Beverly, MA",
25017333501,"Woburn, MA",
25017350500,"Tufts, Somerville, MA",
25009266200,"Amesbury, MA",
25017368102,"Piety Corner, Waltham, MA",
25009210300,"Peabody, MA",
25009204101,"Salem, MA",
25009217600,"Prides Crossing, Beverly, MA",
25009252502,"Methuen, MA",
25009208400,"Saugus, MA",
25009260900,"Haverhill, MA",
25009267102,"Salisbury, MA",
25009213100,"Boxford, MA",
25017358500,"Lexington, MA",
25009221500,"Gloucester, MA",
25009223200,"Ipswich, Ipswich, MA",
25017333100,"Woburn, MA",
25017312100,"South Lowell, Lowell, MA",
25017339100,"Medford, MA",
25017369100,"Warrendale, Waltham, MA",
25017337102,"Stoneham, MA",
25017353600,"Agassiz, Cambridge, MA",
25017317203,"Chelmsford, MA",
33015063002,"Seabrook, NH",
25017315403,"South Tewksbury, Tewksbury, MA",
25017331102,"Wilmington, MA",
25009252601,"Methuen, MA",
25017336200,"Melrose, MA",
25017357300,"Belmont, MA",
25017335302,"Wakefield, MA",
25009250100,"Lawrence, MA",
25009205300,"Lynn, MA",
25017312300,"South Lowell, Lowell, MA",
25017358700,"Lexington, MA",
25017334400,"Reading, MA",
25009260500,"Haverhill, MA",
25009204600,"Salem, MA",
25017314102,"Dracut, MA",
25009252201,"Methuen, MA",
25017338100,"Winchester, MA",
25025170601,"Revere, MA",
25009260301,"Haverhill, MA",
25017335200,"Wakefield, MA",
25017369000,"North Waltham, Waltham, MA",
25009208101,"Saugus, MA",
25009215101,"South Hamilton, Hamilton, MA",
25017316201,"Pinehurst, Billerica, MA",
25009252101,"Methuen, MA",
25009254200,"Andover, Andover, MA",
25009217202,"Beverly, MA",
25009208200,"Saugus, MA",
25009203302,"Marblehead, MA",
25017311100,"The Acre, Lowell, MA",
25017356701,"Arlington, MA",
25017333200,"Woburn, MA",
25009260600,"Haverhill, MA",
25017350900,"Davis Square, Somerville, MA",
25025160300,"Chelsea, MA",
25017356100,"Arlington, MA",
25009209100,"Lynnfield, MA",
25017356500,"Arlington, MA",
25025160400,"Chelsea, MA",
25009222100,"Essex, Essex, MA",
25009211401,"Danvers, MA",
25017331300,"Wilmington, MA",
25017330200,"North Reading, MA",
25017335301,"Wakefield, MA",
25017337202,"Stoneham, MA",
25009261102,"Haverhill, MA",
25017314200,"Dracut, MA",
25009266400,"Amesbury, MA",
25017361100,"Concord, MA",
25009252603,"Methuen, MA",
25017354000,"Neighborhood Nine, Cambridge, MA",
25009217300,"Beverly, MA",
25017330100,"North Reading, MA",
25017362100,"Carlisle, MA",
25009223100,"Ipswich, Ipswich, MA",
25017333600,"Woburn, MA",
25009202102,"Swampscott, MA",
25017338300,"Winchester, MA",
25017354400,"West Cambridge, Cambridge, MA",
33015100400,"Salem, NH",
25017359100,"Bedford, MA",
25009261000,"Haverhill, MA",
25009208300,"Saugus, MA",
25017334200,"Reading, MA",
25009264100,"Groveland, MA",
25017331101,"Wilmington, MA",
25017357500,"Belmont, MA",
25025180200,"Winthrop, MA",
25009268100,"Newburyport, MA",
25009252202,"Methuen, MA",
25009262100,"Merrimac, MA",
25009201100,"Nahant, MA",
33015003602,"Derry, NH",
25017310400,"Centralville, Lowell, MA",
25009260200,"Haverhill, MA",
25009268300,"Newburyport, MA",
25017356702,"Arlington, MA",
25009204500,"Salem, MA",
25009211300,"Danvers, MA",
25009252602,"Methuen, MA",
33015100100,"Salem, NH",
25009252400,"Methuen, MA",
25009218100,"Manchester-by-the-Sea, MA",
25009260401,"Haverhill, MA",
25017337300,"Stoneham, MA",
33015063001,"Seabrook, NH",
25009221400,"Gloucester, MA",
25009214100,"Topsfield, Topsfield, MA",
25017333502,"Woburn, MA",
25009220101,"Rockport, Rockport, MA",
25017332200,"Burlington, MA",
25009210900,"Peabody, MA",
25025051000,"East Boston, Boston, MA",
25017332400,"Burlington, MA",
25009211200,"Danvers, MA",
25017357200,"Belmont, MA",
33015100301,"Salem, NH",
25009221901,"Gloucester, MA",
25025170701,"Revere, MA",
25009253205,"North Andover, MA",
25009203200,"Marblehead, MA",
25009212100,"Middleton, MA",
25017358300,"Lexington, MA",
25017316500,"North Billerica, Billerica, MA",
25025040600,"Charlestown, Boston, MA",
25009253204,"North Andover, MA",
25017316101,"Billerica, MA",
25017366201,"Wayland, MA",
25017311200,"Highlands, Lowell, MA",
25017334300,"Reading, MA",
25009203100,"Marblehead, MA",
25017312400,"Belvidere, Lowell, MA",
25009221100,"Gloucester, MA",
33011200200,"Pelham, NH",
25009211402,"Danvers, MA",
25009211100,"Danvers, MA",
25009250700,"Lawrence, MA",
25017333400,"Woburn, MA",
33015003701,"Londonderry, Londonderry, NH",
25017338400,"Winchester, MA",
25017354800,"North Cambridge, Cambridge, MA",
25017310500,"Pawtucketville, Lowell, MA",
25017316202,"Pinehurst, Billerica, MA",
